time_s,step,robots,moved_total,waited_total,conflicts_resolved,deadlocks_resolved
0.01,5,3,5,0,0,0
0.013,10,3,10,0,0,0
0.06,5,3,5,0,0,0
0.069,10,3,10,0,0,0
0.095,15,3,15,0,0,0
0.107,20,3,20,0,0,1
0.118,25,3,25,0,0,6
0.118,30,3,30,0,0,11
0.142,35,3,35,0,0,16
0.154,40,3,40,0,0,21
0.162,45,3,45,0,0,26
0.168,50,3,50,0,0,31
0.464,5,3,5,0,0,0
0.8,10,3,10,0,0,0
1.097,15,3,15,0,0,0
1.383,20,3,20,0,0,1
1.679,25,3,25,0,0,6
1.965,30,3,30,0,0,11
2.281,35,3,35,0,0,16
2.594,40,3,40,0,0,21
2.897,45,3,45,0,0,26
3.204,50,3,50,0,0,31
3.536,55,3,55,0,0,36
3.855,60,3,56,4,4,41
4.139,65,3,56,9,9,46
4.434,70,3,56,14,14,51
4.732,75,3,56,19,19,56
5.031,80,3,56,19,19,61
5.335,85,3,56,19,19,66
5.628,90,3,56,19,19,71
5.933,95,3,56,19,19,76
6.232,100,3,56,19,19,81
6.523,105,3,56,19,19,86
6.823,110,3,56,19,19,91
7.131,115,3,56,19,19,96
7.436,120,3,56,19,19,101
7.738,125,3,56,19,19,106
8.033,130,3,56,19,19,111
8.33,135,3,56,19,19,116
8.624,140,3,56,19,19,121
8.912,145,3,56,19,19,126
9.22,150,3,56,19,19,131
9.523,155,3,56,19,19,136
9.821,160,3,56,19,19,141
10.125,165,3,56,19,19,146
10.428,170,3,56,19,19,151
10.733,175,3,56,19,19,156
11.035,180,3,56,19,19,161
11.328,185,3,56,19,19,166
11.624,190,3,56,19,19,171
11.916,195,3,56,19,19,176
12.217,200,3,56,19,19,181
0.394,5,3,5,0,0,0
0.71,10,3,10,0,0,0
1.031,15,3,15,0,0,0
1.344,20,3,20,0,0,1
1.651,25,3,25,0,0,6
1.977,30,3,30,0,0,11
2.291,35,3,35,0,0,16
2.613,40,3,40,0,0,21
2.926,45,3,45,0,0,26
3.248,50,3,50,0,0,31
3.559,55,3,55,0,0,36
3.87,60,3,56,4,4,41
4.189,65,3,56,9,9,46
4.487,70,3,56,14,14,51
4.781,75,3,56,19,19,56
5.076,80,3,56,19,19,61
5.372,85,3,56,19,19,66
5.662,90,3,56,19,19,71
5.969,95,3,56,19,19,76
6.265,100,3,56,19,19,81
6.569,105,3,56,19,19,86
6.875,110,3,56,19,19,91
7.177,115,3,56,19,19,96
7.489,120,3,56,19,19,101
7.794,125,3,56,19,19,106
8.094,130,3,56,19,19,111
8.394,135,3,56,19,19,116
8.7,140,3,56,19,19,121
9.01,145,3,56,19,19,126
9.31,150,3,56,19,19,131
9.605,155,3,56,19,19,136
9.883,160,3,56,19,19,141
10.176,165,3,56,19,19,146
10.478,170,3,56,19,19,151
10.782,175,3,56,19,19,156
11.083,180,3,56,19,19,161
11.392,185,3,56,19,19,166
11.701,190,3,56,19,19,171
11.993,195,3,56,19,19,176
12.289,200,3,56,19,19,181
0.429,5,3,5,0,0,0
0.727,10,3,10,0,0,0
1.022,15,3,15,0,0,0
1.321,20,3,20,0,0,1
1.611,25,3,25,0,0,6
1.902,30,3,30,0,0,11
2.21,35,3,35,0,0,16
2.525,40,3,40,0,0,21
2.879,45,3,45,0,0,26
3.187,50,3,50,0,0,31
3.488,55,3,55,0,0,36
3.817,60,3,56,4,4,41
4.125,65,3,56,9,9,46
4.427,70,3,56,14,14,51
4.769,75,3,56,19,19,56
5.064,80,3,56,19,19,61
5.357,85,3,56,19,19,66
5.659,90,3,56,19,19,71
5.959,95,3,56,19,19,76
6.266,100,3,56,19,19,81
6.57,105,3,56,19,19,86
6.872,110,3,56,19,19,91
7.175,115,3,56,19,19,96
7.476,120,3,56,19,19,101
7.78,125,3,56,19,19,106
8.087,130,3,56,19,19,111
8.388,135,3,56,19,19,116
8.692,140,3,56,19,19,121
8.998,145,3,56,19,19,126
9.285,150,3,56,19,19,131
9.592,155,3,56,19,19,136
9.89,160,3,56,19,19,141
10.184,165,3,56,19,19,146
10.484,170,3,56,19,19,151
10.788,175,3,56,19,19,156
11.098,180,3,56,19,19,161
11.396,185,3,56,19,19,166
11.697,190,3,56,19,19,171
11.994,195,3,56,19,19,176
12.296,200,3,56,19,19,181
12.577,205,3,56,19,19,186
12.876,210,3,56,19,19,191
13.165,215,3,56,19,19,196
13.477,220,3,56,19,19,201
13.782,225,3,56,19,19,206
14.08,230,3,56,19,19,211
14.386,235,3,56,19,19,216
14.681,240,3,56,19,19,221
14.991,245,3,56,19,19,226
15.288,250,3,56,19,19,231
15.59,255,3,56,19,19,236
15.877,260,3,56,19,19,241
16.179,265,3,56,19,19,246
16.486,270,3,56,19,19,251
16.783,275,3,56,19,19,256
17.085,280,3,56,19,19,261
17.383,285,3,56,19,19,266
17.683,290,3,56,19,19,271
17.981,295,3,56,19,19,276
18.293,300,3,56,19,19,281
18.595,305,3,56,19,19,286
18.889,310,3,56,19,19,291
19.192,315,3,56,19,19,296
19.493,320,3,56,19,19,301
19.793,325,3,56,19,19,306
20.091,330,3,56,19,19,311
20.398,335,3,56,19,19,316
20.7,340,3,56,19,19,321
21.027,345,3,56,19,19,326
21.333,350,3,56,19,19,331
21.638,355,3,56,19,19,336
21.938,360,3,56,19,19,341
22.235,365,3,56,19,19,346
22.536,370,3,56,19,19,351
22.85,375,3,56,19,19,356
23.146,380,3,56,19,19,361
23.434,385,3,56,19,19,366
23.732,390,3,56,19,19,371
24.023,395,3,56,19,19,376
24.323,400,3,56,19,19,381
24.631,405,3,56,19,19,386
